A,B,C
技嘉GV-N710D3-2GL顯示卡,DDR3,500
現貨算力40NvidiaRTXA2000繪圖顯示卡RTX3060RTX3070,其他,21000
寶輝科技顯示卡AXR9280X3GBD5-T2DHEOC1GD5直購1999元,DDR5,1999
地瓜球銀欣SilverStonePP06B-2PCIE70模組化線材顯示卡8pin62pin,附件及改裝品,299
TOSHIBA東芝THNSN5256GPU7256GXG3NGFFM2PCI-E30x4SSD,其他廠牌,1500
大熊二手3C螺絲-全新-十字外六角側板螺絲機殼電腦螺絲顯示卡螺絲電源供應器粗牙20顆15元,其他,15
技嘉GigabytePC-E顯示卡下單請選型號,DDR5,275
良品ASUSGT630-2GD3顯示卡,DDR3,700
華擎H81ProBTCr20支持1150針CPU和6個圖形卡,其他CPU 主機板,6127
微星N610GT-MD2GD3LP顯示卡,DDR3,320
故障品GIGABYTE技嘉GA-N750OC-1GI顯示卡PCI-E介面,DDR5,250
華碩ASUSGT730-FML-2GDDR564bit顯示卡附驅動光碟,DDR5,750
微星MSIGTX10502GOCDDR5MS-V809顯示卡,DDR5,3000
微星GTX10502GOC顯示卡過測良品免外接電源,DDR5,1890
ASUS華碩R7250X-1GD5PCI-E顯示卡二手良品,DDR5,550
華碩HD8570-2GD3DP2GBPCIE二手顯示卡,DDR3,390
影馳名人堂GTX980TIHOF顯示卡現貨一張,其他,7000
RadeonR73402GBDDR3顯示卡,DDR3,430
華碩GTX650-E-1GD5-SP顯示卡免外接電源,DDR5,620
創憶電腦微星N750GAMING2GD5OCPCI-E顯示卡直購價1500元,DDR5,1500
二手測試良品ASUS華碩ENGTX550TiDI1GD5獨立顯示卡,DDR5,590
華碩GTX650-E-1GD5顯示卡免外接電源外觀新,DDR5,620
二手測試良品ASUSEN8400GSSILENTHTP512MA顯示卡,其他,100
MSIN750GAMING2GD5OC瑕疵顯示卡,DDR5,900
宇揚中古ASUS華碩顯示卡TURBO-GTX960-OC-2GD5GTX9602GB,DDR5,3200
缺貨中二手HD84702GBDDR364BITPCI-E短檔顯示卡內容詳看,DDR3,9999
挖礦主板挖礦主機板礦機專用6卡主機板六卡主機板ETH挖礦主機板顯示卡挖礦主機板以太礦機主機板售可接六張顯卡,其他CPU,3700
微星R7770-PMD1GD5顯示卡良品,DDR5,600
中古顯示卡微星R6670-MD1GD31GBDDR3128BITPCI-E內容詳看,DDR3,350
ZOTACGAMING顯示卡GTX1660Ti6GBGDDR6ZT-T16610F-10L,其他,13500
寶輝科技顯示卡微星GT10302GLPOC2G64BITDDR5GT1030短直購1699元,DDR5,1699
EVGA艾維克GamingGTX960SCDDR52G顯示卡,DDR5,2790
Zotac索泰GeForceGTX1050TiMini顯示卡故障詳內文,DDR5,1400
