	names	category_names	prices	isCorrect
295	PCI-E顯示卡EN-GTX5501GD5二手品>	DDR5	350	1
296	影馳GeForceGTS4501GBDDR5顯示卡良品	DDR5	390	1
297	限時促銷附發票AMDRADEONPROWX71008GBDDR5工作站顯示卡公司貨五年保	DDR5	32999	1
298	點點3C微星顯示卡MSIN780LIGHTINGGTX780DP-2500元-Rn082500	DDR3	2500	1
299	IDCFMAGPUL戰術多角度伸縮腳架191320mm黑色MP-MAG941-BK19254	遊戲用刀、槍及配件	4380	1
300	技嘉RadeonRX5700XTGamingOC顯示卡rx5700	其他	15000	1
301	駏承電腦二手故障技嘉GV-N710D3-1GL顯示卡072110台中市豐原區三民路	DDR3	199	1
302	MAGPULMOEAKStock	槍背帶/槍托	2600	1
303	含稅PCI-E顯示卡華碩asusENGT440DI1GD5二手良品JC1408	DDR5	425	1
304	二手GALAXGTX1060EXOCWhite6GB售7000顯卡顯示卡	顯示卡	1	1
305	麗臺NVIDIAQuadroP2200繪圖卡庫存備品	DDR5	9200	1
306	x024c8;就是硬x024c8;ASUS華碩PH-GTX1650-O4GD6-P全新盒裝特價1665MHz顯示卡DDR6超頻版	其他	6499	1
307	華碩DUAL-GTX1060-O3G3GB顯示卡原廠保固中	其他	4900	1
308	專業繪圖卡2GBNVIDIAQuadroK6202GB	繪圖3D加速卡	945	1
309	MSIRX5704G微星二手顯示卡5200含運	DDR5	5200	1
310	艾維克EVGARTX20606GBXCULTRAGDDR6顯示卡	電腦零組件	12990	1
311	技嘉GV-N760OC-4GD顯示卡良品外觀良好	DDR5	1680	1
312	Action補貨中美國MAGPUL真品-RSAQD鋼製槍背帶扣環座191320mm軌道	槍背帶/槍托	1380	1
313	MR3C缺貨含稅附發票ASUS華碩PH-GTX1050TI-4G顯示卡	其他	5990	1
314	MR3C缺貨含稅附發票ASUS華碩TUF-RTX3080-O10G-GAMINGPCI-E顯示卡	其他	49000	1
315	點點3C微星顯示卡EVGAGTX970HDMI-4000元-Rm154000	DDR3	4000	1
316	北縣-AMDAM4R74700G8C16T內建VEGAGPUL2L3=12M65W	其他系列CPU	7530	1
317	華碩79503GD5顯示卡賣300元故障品	DDR5	60	1
318	Gigabyte技嘉GTX670DDR52G顯示卡N670OC	DDR5	1990	1
319	技嘉GV-N610D3-2GI2GB顯示卡	其他	250	1
320	ASUSEAH5450SILENTDI512MD2DPLP顯示卡	DDR3	200	1
321	微星MSIN750tiGAMING-2GD5OCPCI-E顯示卡免6PIN電源故障零件機	DDR5	550	1
322	二手微星MSIN630GT-MD4GD3顯示卡只要600元	DDR3	600	1
323	華碩RadeonHD84701GBDDR3顯示卡良品	DDR3	320	1
324	EVGA艾維克01G-P4-3652-KRGTX650DDR51GPCIE二手顯示卡	DDR5	740	1
325	微星R6670-MD1GD51GB顯示卡	其他	300	1
326	PCI-E顯示卡asusENGT220DI1GD3二手良品JL0305	DDR3	215	1
327	技嘉GV-N710D3-2GL顯示卡	DDR3	500	1
328	現貨算力40NvidiaRTXA2000繪圖顯示卡RTX3060RTX3070	其他	21000	1
329	寶輝科技顯示卡AXR9280X3GBD5-T2DHEOC1GD5直購1999元	DDR5	1999	1
330	地瓜球銀欣SilverStonePP06B-2PCIE70模組化線材顯示卡8pin62pin	附件及改裝品	299	1
331	TOSHIBA東芝THNSN5256GPU7256GXG3NGFFM2PCI-E30x4SSD	其他廠牌	1500	1
332	大熊二手3C螺絲-全新-十字外六角側板螺絲機殼電腦螺絲顯示卡螺絲電源供應器粗牙20顆15元	其他	15	1
333	技嘉GigabytePC-E顯示卡下單請選型號	DDR5	275	1
334	良品ASUSGT630-2GD3顯示卡	DDR3	700	1
335	華擎H81ProBTCr20支持1150針CPU和6個圖形卡	其他CPU 主機板	6127	1
336	微星N610GT-MD2GD3LP顯示卡	DDR3	320	1
337	故障品GIGABYTE技嘉GA-N750OC-1GI顯示卡PCI-E介面	DDR5	250	1
338	華碩ASUSGT730-FML-2GDDR564bit顯示卡附驅動光碟	DDR5	750	1
339	微星MSIGTX10502GOCDDR5MS-V809顯示卡	DDR5	3000	1
340	微星GTX10502GOC顯示卡過測良品免外接電源	DDR5	1890	1
341	ASUS華碩R7250X-1GD5PCI-E顯示卡二手良品	DDR5	550	1
342	華碩HD8570-2GD3DP2GBPCIE二手顯示卡	DDR3	390	1
343	影馳名人堂GTX980TIHOF顯示卡現貨一張	其他	7000	1
344	RadeonR73402GBDDR3顯示卡	DDR3	430	1
345	華碩GTX650-E-1GD5-SP顯示卡免外接電源	DDR5	620	1
346	創憶電腦微星N750GAMING2GD5OCPCI-E顯示卡直購價1500元	DDR5	1500	1
347	二手測試良品ASUS華碩ENGTX550TiDI1GD5獨立顯示卡	DDR5	590	1
348	華碩GTX650-E-1GD5顯示卡免外接電源外觀新	DDR5	620	1
349	二手測試良品ASUSEN8400GSSILENTHTP512MA顯示卡	其他	100	1
350	MSIN750GAMING2GD5OC瑕疵顯示卡	DDR5	900	1
351	宇揚中古ASUS華碩顯示卡TURBO-GTX960-OC-2GD5GTX9602GB	DDR5	3200	1
352	缺貨中二手HD84702GBDDR364BITPCI-E短檔顯示卡內容詳看	DDR3	9999	1
353	"挖礦主板挖礦主機板礦機專用6卡主機板六卡主機板ETH挖礦主機板顯示卡挖礦主機板以太礦機主機板售

可接六張顯卡"	其他CPU	3700	1
354	微星R7770-PMD1GD5顯示卡良品	DDR5	600	1
355	中古顯示卡微星R6670-MD1GD31GBDDR3128BITPCI-E內容詳看	DDR3	350	1
356	ZOTACGAMING顯示卡GTX1660Ti6GBGDDR6ZT-T16610F-10L	其他	13500	1
357	寶輝科技顯示卡微星GT10302GLPOC2G64BITDDR5GT1030短直購1699元	DDR5	1699	1
358	EVGA艾維克GamingGTX960SCDDR52G顯示卡	DDR5	2790	1
359	Zotac索泰GeForceGTX1050TiMini顯示卡故障詳內文	DDR5	1400	1
